Date,sp500_ret,nasdaq_ret,nifty_ret,gift_nifty_ret,vix_india_ret,usdinr_ret,crude_ret,sp500_mom_3d,sp500_mom_5d,sp500_mom_10d,nasdaq_mom_3d,nasdaq_mom_5d,nasdaq_mom_10d,nifty_mom_3d,nifty_mom_5d,nifty_mom_10d,gift_nifty_mom_3d,gift_nifty_mom_5d,gift_nifty_mom_10d,crude_mom_3d,crude_mom_5d,crude_mom_10d,usdinr_mom_3d,usdinr_mom_5d,usdinr_mom_10d,sp500_vol_5d,sp500_vol_10d,nasdaq_vol_5d,nasdaq_vol_10d,nifty_vol_5d,nifty_vol_10d,gift_nifty_vol_5d,gift_nifty_vol_10d,crude_vol_5d,crude_vol_10d,sp500_nasdaq_div,us_avg_ret,us_nifty_div,gift_nifty_basis,sp500_lag1,sp500_lag2,nasdaq_lag1,nasdaq_lag2,nifty_lag1,nifty_lag2,gift_nifty_lag1,gift_nifty_lag2,crude_lag1,crude_lag2,usdinr_lag1,usdinr_lag2,sp500_up_3d,sp500_up_5d,nasdaq_up_3d,nasdaq_up_5d,nifty_up_3d,nifty_up_5d,crude_up_3d,crude_up_5d,vix_level,vix_high,vix_extreme,vix_mom_3d,vix_rising,usdinr_level,rupee_weak,rupee_very_weak,crude_spike,crude_up,day_of_week,month,is_monday,is_friday,is_month_end,is_month_start,quarter,sp500_nifty_corr_20d,nasdaq_nifty_corr_20d,nifty_dist_ma20,nifty_dist_ma50,nifty_above_ma20,nifty_above_ma50,sp500_dist_ma50,sp500_above_ma50,cross_mom_diff,target
2019-03-12,0.29533182046204143,0.43621943073888225,1.1922438828049886,1.1922438828049886,1.3422870339588666,-0.2811958109400492,0.1351702244151154,1.5487671223636035,0.08378550113601335,-0.06484734137707227,2.2804610511001133,0.22548310902591462,0.5874688913603765,2.1880991679578687,2.8317349432301797,4.235228024683435,2.1880991679578687,2.8317349432301797,4.235228024683435,0.5682838402578883,1.2354440914061238,2.2602592073536765,-0.8172968739124875,-1.5730713769343874,-1.8380796803584176,0.9176188188917098,0.6741843639591704,1.2686950034819835,0.8977756148955666,0.6448315317192241,0.6050651302030935,0.6448315317192241,0.6050651302030935,0.7613777411251038,0.9848497484957232,-0.14088761027684082,0.36577562560046184,-0.8264682572045268,0.0,1.4666041867757107,-0.21316888487414865,2.0237187621750863,-0.1794771418138552,1.2020353532001593,-0.20618006804727917,1.2020353532001593,-0.20618006804727917,1.2777669525117163,-0.8446533366689435,-0.7102006745796974,0.17409961160725906,1,1,1,1,1,1,1,1,15.100000381469727,0,0,-1.214530664615765,0,69.79010009765625,0,0,0,1,1,3,0,0,0,0,1,0.2680035020868147,0.2793473682414887,3.914805661329502,4.110089491809701,1,1,3.5673520489949517,1,-2.7479494420941664,1
2019-03-13,0.6949583813841809,0.6900298454391107,0.358369016565141,0.358369016565141,1.1920486553255616,0.07866606147584054,1.3199413634038537,2.456894388621933,1.4311537478794323,0.6845159787801425,3.1499680383530793,1.845246265413425,1.2084862313712974,2.752648252570289,2.593516002423135,4.8580051755773175,2.752648252570289,2.593516002423135,4.8580051755773175,2.7328785403306854,2.358001227337714,1.770661663009332,-0.912730424043906,-1.2722597339163033,-1.5484220529645598,0.8685029502830115,0.7090128167783974,1.1596623405152264,0.919773886868789,0.6508113177271471,0.5564915103811491,0.6508113177271471,0.5564915103811491,0.8965627963597267,0.9064293981292318,0.004928535945070145,0.6924941134116458,0.3341250968465048,0.0,0.29533182046204143,1.4666041867757107,0.43621943073888225,2.0237187621750863,1.1922438828049886,1.2020353532001593,1.1922438828049886,1.2020353532001593,0.1351702244151154,1.2777669525117163,-0.2811958109400492,-0.7102006745796974,1,1,1,1,1,1,1,1,15.279999732971191,0,0,2.2665983199638307,1,69.84500122070312,1,0,0,1,2,3,0,0,0,0,1,0.2794446843312859,0.28233271471268406,4.043107611004084,4.377570239814812,1,1,4.054784622754711,1,-1.162362254543703,1
2019-03-14,-0.08680223820187738,-0.16353956865416963,0.013664659273393553,0.013664659273393553,-0.8507861041411102,-0.16994504695062584,-0.47372269484433627,0.9034879636443449,2.156923265545907,0.8802645720997315,0.9627097075238233,2.8069513278850544,1.3358984405381635,1.5642775586435231,2.5601328437964033,5.002611339512287,1.5642775586435231,2.5601328437964033,5.002611339512287,0.9813888929746328,1.4145025088174057,1.8391902313992237,-0.3724747964148345,-0.9085758593872728,-2.070777575523064,0.6789012969582332,0.7009011553547699,0.9006981030368155,0.9143017805339536,0.6570014699867195,0.540328671846905,0.6570014699867195,0.540328671846905,0.991324058846343,0.9006273890415022,0.07673733045229225,-0.1251709034280235,-0.13883556270141706,0.0,0.6949583813841809,0.29533182046204143,0.6900298454391107,0.43621943073888225,0.358369016565141,1.1922438828049886,0.358369016565141,1.1922438828049886,1.3199413634038537,0.1351702244151154,0.07866606147584054,-0.2811958109400492,1,1,1,1,1,1,1,1,15.149999618530273,0,0,1.683549585143318,1,69.72630310058594,0,0,0,0,3,3,0,0,0,0,1,0.2493252742670162,0.3023929135418549,3.7730686706829863,4.263063872901621,1,1,3.6876510695362006,1,-0.4032095782504963,1
2019-03-15,0.498490290027398,0.755081998430529,0.7369987382364052,0.7369987382364052,4.7524771297562385,-0.5578955453922174,-0.10411972531457758,1.1066464332097015,2.8685824404474536,0.6892228027836955,1.2815722752154701,3.7415104681294387,1.2569935276418365,1.1090324140749397,3.5033116500800876,5.081745820162398,1.1090324140749397,3.5033116500800876,5.081745820162398,0.7420989432449399,2.1550361201717716,3.1889537443403726,-0.6491745308670027,-1.6405710163867493,-2.10331768266504,0.5769293784730819,0.6851101889550123,0.7998406256835393,0.9079037859307949,0.5204512892722412,0.5434637251186896,0.5204512892722412,0.5434637251186896,0.8215264071052587,0.7085627992333989,-0.25659170840313106,0.6267861442289635,-0.11021259400744166,0.0,-0.08680223820187738,0.6949583813841809,-0.16353956865416963,0.6900298454391107,0.013664659273393553,0.358369016565141,0.013664659273393553,0.358369016565141,-0.47372269484433627,1.3199413634038537,-0.16994504695062584,0.07866606147584054,1,1,1,1,1,1,1,1,15.869999885559082,0,0,5.09373968094069,1,69.3373031616211,0,0,0,0,4,3,0,1,0,0,1,0.37793683251965077,0.3638921222767105,4.203053991451186,4.89659372200661,1,1,3.981450657513456,1,-0.634729209632634,1
2019-03-18,0.37059469012648005,0.33751830372823477,0.30936423551506387,0.30936423551506387,6.4902315084982565,-0.5542474460505264,0.5658088634565628,0.7822827419520006,1.772572943798223,1.4478733421615764,0.9290607335045942,2.055310009682587,1.8286060233282053,1.0600276330248626,2.610640532394992,5.391110055677462,1.0600276330248626,2.610640532394992,5.391110055677462,-0.012033556702351067,1.443078031116618,2.832681038817275,-1.2820880383933697,-1.4846177878575784,-2.903266618535383,0.2894618670804664,0.6707380600664182,0.3648223377178305,0.9007000579307689,0.45438010617048147,0.5196033647275689,0.45438010617048147,0.5196033647275689,0.6890963521871865,0.6833732367063,0.03307638639824528,0.3540564969273574,0.044692261412293544,0.0,0.498490290027398,-0.08680223820187738,0.755081998430529,-0.16353956865416963,0.7369987382364052,0.013664659273393553,0.7369987382364052,0.013664659273393553,-0.10411972531457758,-0.47372269484433627,-0.5578955453922174,-0.16994504695062584,1,1,1,1,1,1,0,1,16.899999618530273,0,0,10.391922534113384,1,68.9530029296875,0,0,0,1,0,3,1,0,0,0,1,0.3935514035269481,0.3766461677136744,4.135480737825787,5.087901852323176,1,1,4.1494392779017435,1,-0.8380675885967692,1
2019-03-19,-0.01305615560248663,0.12275895287467975,0.6124495656707252,0.6124495656707252,-2.426034654832532,-0.4858478958614798,0.10364183280329176,0.8560288245513914,1.4641849677336949,1.5479704688697082,1.2153592550334436,1.7418495318183846,1.9673326408442993,1.6588125394221942,2.0308462152607287,4.862581158490909,1.6588125394221942,2.0308462152607287,4.862581158490909,0.565330970945277,1.4115496395047944,2.646993730910918,-1.5979908873042237,-1.689269872779009,-3.2623412497133963,0.334566029830498,0.6671985519186716,0.38575108879608055,0.8983627311384789,0.2818313528545453,0.47668866364904217,0.2818313528545453,0.47668866364904217,0.6909931501379374,0.685709017431379,-0.13581510847716638,0.05485139863609656,-0.5575981670346286,0.0,0.37059469012648005,0.498490290027398,0.33751830372823477,0.755081998430529,0.30936423551506387,0.7369987382364052,0.30936423551506387,0.7369987382364052,0.5658088634565628,-0.10411972531457758,-0.5542474460505264,-0.5578955453922174,1,1,1,1,1,1,1,1,16.489999771118164,0,0,8.816673983421964,1,68.61799621582031,0,0,0,1,1,3,0,0,0,0,1,0.4139098656411493,0.3964124853505275,4.333416832381484,5.590125212264121,1,1,3.9385466647528964,1,-0.5666612475270338,0
2019-03-20,-0.29443536044478913,0.06499290394565982,-0.09842344657688962,-0.09842344657688962,-2.7895639227256575,1.0194133844969144,1.3163724029195967,0.0631031740792043,0.4747912259047249,1.9059449737841572,0.5252701605485743,1.1168125903249337,2.9620588557383587,0.8233903546088994,1.5740537521186981,4.167569754541834,0.8233903546088994,1.5740537521186981,4.167569754541834,1.9858230991794512,1.4079806790205374,3.765981906358251,-0.020681957415091823,-0.7485225497579351,-2.0207822836742384,0.32982757813687325,0.6274992121414714,0.3466454910688803,0.8105540576839219,0.3634256098933712,0.5084250746517824,0.3634256098933712,0.5084250746517824,0.6896538611782518,0.7607045775273995,-0.35942826439044895,-0.11472122824956466,-0.016297781672675038,0.0,-0.01305615560248663,0.37059469012648005,0.12275895287467975,0.33751830372823477,0.6124495656707252,0.30936423551506387,0.6124495656707252,0.30936423551506387,0.10364183280329176,0.5658088634565628,-0.4858478958614798,-0.5542474460505264,1,1,1,1,1,1,1,1,16.030000686645508,0,0,1.2746329309400672,1,69.31749725341797,1,1,0,1,2,3,0,0,0,0,1,0.4490467389811331,0.4393214636526941,3.861640090154392,5.357727732852762,1,1,3.4508594095891265,1,-1.0992625262139732,0
2019-03-21,1.0852481049954399,1.4230840983513016,0.0,0.0,0.0,-0.7104992602015692,-0.9343056783188919,0.7777565889481641,1.6468415691020422,3.803764834647949,1.6108359551716411,2.703436257330405,5.51038758521546,0.5140261190938356,1.5603890928453046,4.120521936641708,0.5140261190938356,1.5603890928453046,4.120521936641708,0.48570855740399654,0.9473976955459817,2.3619002043633874,-0.17693377156613455,-1.2890767630088784,-2.1976526223961512,0.5263177882545406,0.5751992770320367,0.5627646264803382,0.7081208251821525,0.36629639347463183,0.5124282794808683,0.36629639347463183,0.5124282794808683,0.8318613378554279,0.8641428245456086,-0.3378359933558617,1.2541661016733707,1.2541661016733707,0.0,-0.29443536044478913,-0.01305615560248663,0.06499290394565982,0.12275895287467975,-0.09842344657688962,0.6124495656707252,-0.09842344657688962,0.6124495656707252,1.3163724029195967,0.10364183280329176,1.0194133844969144,-0.4858478958614798,1,1,1,1,1,1,1,1,16.030000686645508,0,0,-5.21559857755819,0,68.82499694824219,0,0,0,0,3,3,0,0,0,0,1,0.3708975125194691,0.36563799424640503,3.520450651574942,5.223119288550715,1,1,4.376093607721581,1,0.08645247625673758,0
2019-03-22,-1.8974501239482744,-2.50403165777906,-0.5568018119008533,-0.5568018119008533,1.4971912716017943,0.15256572697353032,-1.2231090828019764,-1.1066373793976236,-0.7490988448736302,2.1194835955738234,-1.0159546554820986,-0.5556773988791841,3.185833069250255,-0.6552252584777429,0.2665885427080461,3.7699001927881337,-0.6552252584777429,0.2665885427080461,3.7699001927881337,-0.8410423582012716,-0.17159166194141706,1.9834444582303545,0.4614798512688756,-0.5786154906431307,-2.21918650702988,1.1056732875739812,0.9147073299158596,1.4462710554423075,1.1912813981242945,0.4405400784995583,0.5683717551487417,0.4405400784995583,0.5683717551487417,1.0519923706856438,0.9230200446757124,0.6065815338307856,-2.200740890863667,-1.6439390789628137,0.0,1.0852481049954399,-0.29443536044478913,1.4230840983513016,0.06499290394565982,0.0,-0.09842344657688962,0.0,-0.09842344657688962,-0.9343056783188919,1.3163724029195967,-0.7104992602015692,1.0194133844969144,0,0,0,0,0,1,0,0,16.270000457763672,0,0,-1.2923726511238636,0,68.93000030517578,1,0,0,0,4,3,0,1,0,0,1,0.5323864958245752,0.5309444139468801,2.6372901307759884,4.510867412122366,1,1,2.242760230642296,1,-1.0156873875816763,0
2019-03-25,-0.0839020658475631,-0.06712160625722552,-0.8959700017030503,-0.8959700017030503,2.458510186085472,0.33439615052608396,0.26853693637747256,-0.8961040848003976,-1.2035956008476734,0.5689773429505496,-1.148069165684984,-0.9603173088646444,1.0949927008179428,-1.4527718136039036,-0.9387456945100681,1.671894837884924,-1.4527718136039036,-0.9387456945100681,1.671894837884924,-1.8888778247433957,-0.4688635890205073,0.9742144420961107,-0.2235373827019549,0.31002810593347974,-1.1745896819240986,1.070310019284646,0.8029919579030805,1.4260697892722334,1.0315297346028398,0.5747441716150617,0.6152671356167406,0.5747441716150617,0.6152671356167406,1.0174289084284858,0.8436437861440964,-0.016780459590337582,-0.07551183605239431,0.820458165650656,0.0,-1.8974501239482744,1.0852481049954399,-2.50403165777906,1.4230840983513016,-0.5568018119008533,0.0,-0.5568018119008533,0.0,-1.2231090828019764,-0.9343056783188919,0.15256572697353032,-0.7104992602015692,0,0,0,0,0,0,0,0,16.670000076293945,0,0,3.9557014576872658,1,69.1604995727539,1,0,0,1,0,3,1,0,1,0,1,0.49565821991088316,0.48888313534869005,1.5021153760053771,3.4580881482139794,1,1,1.996308333443824,1,-0.2648499063376053,1
